Using default parameters in config
iteration 0 batch 0 training_loss 0.6857275420239741
iteration 0 batch 10 training_loss 0.6886953974383626
iteration 0 batch 20 training_loss 0.6842436143167799
iteration 0 batch 30 training_loss 0.6901793251455568
iteration 0 batch 40 training_loss 0.6901793251455568
iteration 0 batch 50 training_loss 0.6872114697311684
iteration 0 batch 60 training_loss 0.6901793251455568
iteration 0 batch 70 training_loss 0.6827596866095857
iteration 0 batch 80 training_loss 0.6857275420239741
iteration 0 batch 90 training_loss 0.6901793251455568
iteration 0 batch 100 training_loss 0.6886953974383626
iteration 0 batch 110 training_loss 0.6901793251455568
iteration 0 batch 120 training_loss 0.6886953974383626
iteration 0 batch 130 training_loss 0.6857275420239741
iteration 0 batch 140 training_loss 0.6857275420239741
iteration 0 batch 150 training_loss 0.6901793251455568
iteration 0 batch 160 training_loss 0.6916632528527511
iteration 0 batch 170 training_loss 0.6931471805599453
iteration 0 batch 180 training_loss 0.6901793251455568
iteration 0 batch 190 training_loss 0.6901793251455568
iteration 0 batch 200 training_loss 0.6872114697311684
iteration 0 batch 210 training_loss 0.6872114697311684
iteration 0 batch 220 training_loss 0.6916632528527511
iteration 0 batch 230 training_loss 0.6901793251455568
iteration 0 batch 240 training_loss 0.6827596866095857
iteration 0 batch 250 training_loss 0.6901793251455568
iteration 0 batch 260 training_loss 0.6901793251455568
iteration 0 batch 270 training_loss 0.6842436143167799
iteration 0 batch 280 training_loss 0.6901793251455568
iteration 0 batch 290 training_loss 0.6916632528527511
iteration 0 batch 300 training_loss 0.6931471805599453
iteration 0 batch 310 training_loss 0.6931471805599453
iteration 0 batch 320 training_loss 0.6872114697311684
iteration 0 batch 330 training_loss 0.6886953974383626
iteration 0 batch 340 training_loss 0.6886953974383626
iteration 0 batch 350 training_loss 0.6857275420239741
iteration 0 batch 360 training_loss 0.6886953974383626
iteration 0 batch 370 training_loss 0.6901793251455568
iteration 0 batch 380 training_loss 0.6901793251455568
iteration 0 batch 390 training_loss 0.6901793251455568
iteration 0 batch 400 training_loss 0.6812757589023914
iteration 0 batch 410 training_loss 0.6931471805599453
iteration 0 batch 420 training_loss 0.6872114697311684
iteration 0 batch 430 training_loss 0.6901793251455568
iteration 0 batch 440 training_loss 0.6931471805599453
iteration 0 batch 450 training_loss 0.6901793251455568
iteration 0 batch 460 training_loss 0.6872114697311684
iteration 0 batch 470 training_loss 0.6901793251455568
iteration 0 batch 480 training_loss 0.6886953974383626
iteration 0 batch 490 training_loss 0.6886953974383626
iteration 0 batch 500 training_loss 0.6931471805599453
iteration 0 batch 510 training_loss 0.6916632528527511
iteration 0 batch 520 training_loss 0.6901793251455568
iteration 0 batch 530 training_loss 0.6901793251455568
iteration 0 batch 540 training_loss 0.6886953974383626
